"Placa";"Vaga";"Categoria Demora";"Data Inicial";"Data Final";"Tempo Indisponível (HH:MM)"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Documentação";"24/07/2025 23:31:27";"25/07/2025 00:08:04";"00:37"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Aguardando Área";"25/07/2025 00:08:22";"25/07/2025 01:35:17";"01:27"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Documentação";"25/07/2025 00:53:21";"25/07/2025 01:24:58";"00:32"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Descarregando equipamento";"25/07/2025 01:30:29";"25/07/2025 02:04:02";"00:34"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Preparação";"25/07/2025 01:35:43";"25/07/2025 01:42:46";"00:07"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Aguardando Área";"25/07/2025 02:11:26";"25/07/2025 02:41:13";"00:30"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Refeição Motorista";"25/07/2025 02:34:28";"25/07/2025 03:34:31";"01:00"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Descarregando equipamento";"25/07/2025 04:45:35";"25/07/2025 05:53:11";"01:08"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Documentação";"25/07/2025 05:06:04";"25/07/2025 05:36:48";"00:31"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Documentação";"25/07/2025 05:25:45";"25/07/2025 05:38:13";"00:12"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Aguardando Área";"25/07/2025 05:38:25";"25/07/2025 05:58:24";"00:20"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Bloqueio";"25/07/2025 05:58:37";"25/07/2025 06:12:09";"00:14"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Preparação";"25/07/2025 06:27:00";"25/07/2025 07:30:07";"01:03"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Preparação";"25/07/2025 07:06:02";"25/07/2025 08:31:15";"01:25"
